name,birthdate,age,ch_elevated_date,ch_title,ProfileLink,gc_raw_description
"NakellentubaOuédraogo, Philippe",1945-12-31,79,,"Archbishop Emeritus ofOuagadougou,Burkina Faso",https://www.catholic-hierarchy.org/bishop/bouep.html,
"NicholasDiNardo, Daniel",1949-05-23,75,,"Archbishop Emeritus ofGalveston-Houston, Texas,USA",https://www.catholic-hierarchy.org/bishop/bdinardo.html,
"Nichols, Vincent",1945-11-08,79,,,,"Nichols, Vincent Gerard(79),Cardinal-PriestofSS. Redentore e S. Alfonso in Via Merulana,Metropolitan ArchbishopofWestminster(England)andPresidentofBishops’ Conference of England and Wales"
"Njue, John",1946-01-01,79,,,,"Njue, John(79),Cardinal-PriestofPreziosissimo Sangue di Nostro Signore Gesù CristoandMetropolitan Archbishopemeritus ofNairobi(Kenya)"
"NoëlAveline, Jean-Marc",1958-12-26,66,,"Archbishop ofMarseille,France",https://www.catholic-hierarchy.org/bishop/baveline.html,
"Nycz, Kazimierz",1950-02-01,75,,,,"Nycz, Kazimierz(75),Cardinal-PriestofSs. Silvestro e Martino ai Monti,Metropolitan Archbishopemeritus ofWarszawa(Poland)andOrdinaryemeritus ofPolandof theEastern Rite(Poland)"
"Nzapalainga, Dieudonné",1967-03-14,58,,,,"Nzapalainga, Dieudonné,C.S.Sp.(58),Cardinal-PriestofS. Andrea della ValleandMetropolitan ArchbishopofBangui(Central African Republic)"
"Német, Ladislav",1956-09-07,68,,,,"Német, Ladislav,S.V.D.(68),Cardinal-PriestofS. Maria Stella Maris,Metropolitan ArchbishopofBeograd(Serbia),PresidentofInternational Episcopal Conference of Saints Cyril and MethodiusandVice-PresidentofCouncil of European Bishops’ Conferences"
"Okpaleke, Peter",1963-03-01,62,,,,"Okpaleke, Peter Ebere(62),Cardinal-PriestofSs. Martiri dell’Uganda a Poggio AmenoandBishopofEkwulobia(Nigeria)"
"Omella Omella, Juan",1946-04-21,79,,,,"Omella Omella, Juan José(79),Cardinal-PriestofS. Croce in Gerusalemme,Metropolitan ArchbishopofBarcelona(Spain)andMemberofCouncil of Cardinals"
"Omella, Juan",1946-04-21,79,,"Archbishop ofBarcelona,Spain",https://www.catholic-hierarchy.org/bishop/bomel.html,
"Ortega, José",1949-03-02,76,,"Archbishop ofGuadalajara, Jalisco,México",https://www.catholic-hierarchy.org/bishop/brobleso.html,
"Osoro Sierra, Carlos",1945-05-16,79,,,,"Osoro Sierra, Carlos(79),Cardinal-PriestofS. Maria in Trastevere,Metropolitan Archbishopemeritus ofMadrid(Spain)andOrdinaryemeritus ofSpainof theEastern Rite(Spain)"
"Ouédraogo, Philippe",1945-12-31,79,,,,"Ouédraogo, Philippe Nakellentuba(79),Cardinal-PriestofS. Maria Consolatrice al TiburtinoandMetropolitan Archbishopemeritus ofOuagadougou(Burkina Faso)"
"PainiMafi, Soane",1961-12-19,63,,"Bishop ofTonga,Pacific (Oceania)",https://www.catholic-hierarchy.org/bishop/bmafi.html,
"PaoloLojudice, Augusto",1964-07-01,60,,"Archbishop ofSiena-Colle di Val d’Elsa-Montalcino,Italy",https://www.catholic-hierarchy.org/bishop/bloju.html,
"Parolin, Pietro",1955-01-17,70,,,,"Parolin, Pietro(70),Cardinal-BishopofSs. Simone e Giuda Taddeo a Torre Angela,Secretary of StateofSecretariat of State,PresidentofInterdicastery Commission for the Church in Eastern Europe,PresidentofInterdicastery Commission on Particular Churches,PresidentofCouncil of the Section for Relations with States and International Organisations,PresidentofPontifical Commission for the Activities of Public Juridical Persons of the Church in the Healthcare Sector,MemberofCouncil of CardinalsandCardinal ProtectorofPontifical Ecclesiastical Academy"
"PaulTscherrig, Emil",1947-02-03,78,,Apostolic Nuncio,https://www.catholic-hierarchy.org/bishop/btsce.html,
"PedroScherer, Odilo",1949-09-21,75,,"Archbishop ofSão Paulo,Brazil",https://www.catholic-hierarchy.org/bishop/bscherero.html,
"Petrocchi, Giuseppe",1948-08-19,76,,,,"Petrocchi, Giuseppe(76),Cardinal-PriestofS. Giovanni Battista dei Fiorentini,MemberofCouncil for the Economy,MemberofCommission of Cardinals overseeing the Institute for Works of ReligionandMetropolitan Archbishopemeritus ofL’Aquila(Italy)"
"Pierre, Christophe",1946-01-30,79,,,,"Pierre, Christophe Louis Yves Georges(79),Cardinal-DeaconofS. Benedetto fuori Porta S. PaoloandApostolic NunciotoUnited States of America"
"Pizzaballa, Pierbattista",1965-04-21,60,,,,"Pizzaballa, Pierbattista,O.F.M.(60),Cardinal-PriestofS. Onofrio,PatriarchofJerusalem(Palestine),PresidentofConference of the Latin Bishops of the Arab Regions,PresidentofAssembly of Catholic Ordinaries of the Holy LandandGrand PriorofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)"
"Poli, Mario",1947-11-29,77,,,,"Poli, Mario Aurelio(77),Cardinal-PriestofS. Roberto Bellarmino,Metropolitan Archbishopemeritus ofBuenos Aires(Argentina)andOrdinaryemeritus ofArgentinaof theEastern Rite(Argentina)"
"Poola, Anthony",1961-11-15,63,,,,"Poola, Anthony(63),Cardinal-PriestofSs. Protomartiri a Via Aurelia AnticaandMetropolitan ArchbishopofHyderabad(India)"
"Prevost, Robert",1955-09-14,69,,,,"Prevost, Robert Francis,O.S.A.(69),Cardinal-BishopofAlbano,PrefectofDicastery for BishopsandPresidentofPontifical Commission for Latin America"
"Puljić, Vinko",1945-09-08,79,,,,"Puljić, Vinko(79),Cardinal-PriestofS. Chiara a Vigna ClaraandMetropolitan Archbishopemeritus ofVrhbosna(Bosnia and Herzegovina)"
"Radcliffe, Timothy",1945-08-22,79,,,,"Radcliffe, Timothy Peter Joseph,O.P.(79),Cardinal-DeaconofSS. Nomi di Gesù e Maria in Via LataandMaster of the Orderemeritus ofOrder of Preachers (Dominicans)"
"Ramazzini Imeri, Álvaro",1947-07-16,77,,,,"Ramazzini Imeri, Álvaro Leonel(77),Cardinal-PriestofS. Giovanni Evangelista a SpinacetoandBishopofHuehuetenango(Guatemala)"
"Ranjith Patabendige Don, Albert",1947-11-15,77,,,,"Ranjith Patabendige Don, Albert Malcolm(77),Cardinal-PriestofS. Lorenzo in LucinaandMetropolitan ArchbishopofColombo(Sri Lanka)"
"Reina, Baldassare",1970-11-26,54,,,,"Reina, Baldassare(54),Cardinal-PriestofS. Maria Assunta e S. Giuseppe a Primavalle,ArchpriestofPapal Archbasilica of Saint John Lateran,Vicar General for the Vicariate of RomeofRoma(Italy),Apostolic AdministratorofOstia(Italy)andGrand ChancellorofPontifical Lateran University"
"Repole, Roberto",1967-01-29,58,,,,"Repole, Roberto(58),Cardinal-PriestofGesù Divin Maestro alla Pineta Sacchetti,Metropolitan ArchbishopofTorino(Italy)andBishopofSusa(Italy)"
"Retes, CarlosAguiar",1950-01-09,75,,"Archbishop ofMéxico, Federal District",https://www.catholic-hierarchy.org/bishop/baguiar.html,
"Ribat, John",1957-02-09,68,,,,"Ribat, John,M.S.C.(68),Cardinal-PriestofS. Giovanni Battista de’ RossiandMetropolitan ArchbishopofPort Moresby(Papua New Guinea)"
"Robles Ortega, José",1949-03-02,76,,,,"Robles Ortega, José Francisco(76),Cardinal-PriestofS. Maria della PresentazioneandMetropolitan ArchbishopofGuadalajara(Mexico)"
"Rocha, Sérgioda",1959-10-21,65,,"Archbishop ofSão Salvador da Bahia,Brazil",https://www.catholic-hierarchy.org/bishop/bdarocha.html,
"Roche, Arthur",1950-03-06,75,,,,"Roche, Arthur(75),Cardinal-DeaconofS. Saba,PrefectofDicastery for Divine Worship and the Discipline of the SacramentsandBishopemeritus ofLeeds(England)"
"Rodríguez, Juan",1948-07-11,76,,"Archbishop ofSan Cristobal de la Habana,Cuba",https://www.catholic-hierarchy.org/bishop/bgarciar.html,
"Romero, CristóbalLópez",1952-05-19,72,,"Archbishop ofRabat,Morocco",https://www.catholic-hierarchy.org/bishop/bloprom.html,
"Rossi, Ángel",1958-08-11,66,,,,"Rossi, Ángel Sixto,S.J.(66),Cardinal-PriestofS. Bernadette Soubirous,Metropolitan ArchbishopofCórdoba(Argentina)andVice-PresidentofEpiscopal Conference of Argentina"
"RosárioFerrão, Filipe",1953-01-20,72,,"Archbishop ofGoa e Damão,India",https://www.catholic-hierarchy.org/bishop/brosf.html,
"Rueda Aparicio, Luis",1962-03-03,63,,,,"Rueda Aparicio, Luis José(63),Cardinal-PriestofS. Luca a Via PrenestinaandMetropolitan ArchbishopofBogotá(Colombia)"
"Rugambwa, Protase",1960-05-31,64,,,,"Rugambwa, Protase(64),Cardinal-PriestofS. Maria in MontesantoandMetropolitan ArchbishopofTabora(Tanzania)"
"Ryłko, Stanisław",1945-07-04,79,,,,"Ryłko, Stanisław(79),Cardinal-PriestofS. Cuore di Cristo Repro hac viceTitleandArchpriestofPapal Basilica of Saint Mary Major"
"Ryś, Grzegorz",1964-02-09,61,,,,"Ryś, Grzegorz(61),Cardinal-PriestofSs. Cirillo e MetodioandMetropolitan ArchbishopofŁódź(Poland)"
"Sako, Louis",1948-07-04,76,,,,"Sako, Louis Raphaël I (Louis)(76)(Chaldean Rite),Cardinal-Patriarch,PatriarchofBaghdadof theChaldeans(Iraq),PresidentofSynod of the Chaldean Church,PresidentofAssembly of the Catholic Bishops of IraqandMemberofCouncil for the Economy"
"Sarah, Robert",1945-06-15,79,,,,"Sarah, Robert(79),Cardinal-PriestofS. Giovanni Bosco in Via Tuscolanapro hac viceTitle,Metropolitan Archbishopemeritus ofConakry(Guinea)andPrefectemeritus ofCongregation for Divine Worship and the Discipline of the Sacraments"
"Sau-yan, StephenChow",1959-08-07,65,,"Bishop ofHong Kong [Xianggang],China",https://www.catholic-hierarchy.org/bishop/bchowsy.html,
"Scherer, Odilo",1949-09-21,75,,,,"Scherer, Odilo Pedro(75),Cardinal-PriestofS. Andrea al Quirinale,Metropolitan ArchbishopofSão Paulo(Brazil)andMemberofCouncil for the Economy"
"Semeraro, Marcello",1947-12-22,77,,,,"Semeraro, Marcello(77),Cardinal-DeaconofS. Maria in Domnica,PrefectofDicastery for the Causes of Saints,Apostolic AdministratorofSanta Maria di Grottaferrataof theItalo-Albanese(Italy),Pontifical DelegateforItalian Basilian Order of GrottaferrataandBishopemeritus ofAlbano(Italy)"
"Sierra, CarlosOsoro",1945-05-16,79,,"Archbishop Emeritus ofMadrid,Spain",https://www.catholic-hierarchy.org/bishop/bossi.html,
"Silva, Virgiliodo",1967-11-27,57,,"Archbishop ofDíli,Timor-Leste",https://www.catholic-hierarchy.org/bishop/bdcds.html,
"SiongcoDavid, Pablo",1959-03-02,66,,"Bishop ofKalookan,Philippines",https://www.catholic-hierarchy.org/bishop/bsiong.html,
"SixtoRossi, Ángel",1958-08-11,66,,"Archbishop ofCórdoba,Argentina",https://www.catholic-hierarchy.org/bishop/brossias.html,
"Solórzano, Leopoldo",1949-03-07,76,,"Archbishop ofManagua,Nicaragua",https://www.catholic-hierarchy.org/bishop/bbrenes.html,
"Souraphiel, Berhaneyesus",1948-07-14,76,,,,"Souraphiel, Berhaneyesus Demerew,C.M.(76)(Ethiopic Rite),Cardinal-PriestofS. Romano Martire,MetropolitanofAddis Abebaof theEthiopics(Ethiopia),PresidentofInterritual Episcopal Conference of EthiopiaandPresidentofCouncil of the Ethiopian Church"
"Spengler, Jaime",1960-09-06,64,,,,"Spengler, Jaime,O.F.M.(64),Cardinal-PriestofS. Gregorio Magno alla Magliana Nuova,Metropolitan ArchbishopofPorto Alegre(Brazil),PresidentofNational Conference of Bishops of BrazilandPresidentofLatin American Episcopal Council"
"Steiner, Leonardo",1950-11-06,74,,,,"Steiner, Leonardo Ulrich,O.F.M.(74),Cardinal-PriestofS. Leonardo da Porto Maurizio,Metropolitan ArchbishopofManaus(Brazil)andFirst Vice-PresidentofEcclesial Conference of the Amazon (CEAMA)"
"Sturla Berhouet, Daniel",1959-07-04,65,,,,"Sturla Berhouet, Daniel Fernando,S.D.B.(65),Cardinal-PriestofS. Galla,Metropolitan ArchbishopofMontevideo(Uruguay)andVice-PresidentofEpiscopal Conference of Uruguay"
"Suharyo Hardjoatmodjo, Ignatius",1950-07-09,74,,,,"Suharyo Hardjoatmodjo, Ignatius(74),Cardinal-PriestofSpirito Santo alla Ferratella,Metropolitan ArchbishopofJakarta(Indonesia)andMilitary OrdinaryofIndonesia(Indonesia)"
"Tagle, Luis",1957-06-21,67,,,,"Tagle, Luis Antonio Gokim(67),Cardinal-BishopofS. Felice da Cantalice a Centocelle,PresidentofInterdicastery Commission for Consecrated Religious,Pro-Prefect for the Section of EvangelisationofDicastery for Evangelisation,MemberofCouncil of the Section for Relations with States and International Organisations,MemberofCommission of Cardinals overseeing the Institute for Works of ReligionandGrand ChancellorofPontifical Urbaniana University"
"Tempesta, Orani",1950-06-23,74,,,,"Tempesta, Orani João,O. Cist.(74),Cardinal-PriestofS. Maria Madre della Provvidenza a Monte VerdeandMetropolitan ArchbishopofSão Sebastião do Rio de Janeiro(Brazil)"
"Thottunkal, Baselios",1959-06-15,65,,,,"Thottunkal, Baselios Cleemis (Baselios Cleemis)(65)(Syro-Malankara Rite),Cardinal-PriestofS. Gregorio VII,Major ArchbishopofTrivandrumof theSyro-Malankara(India)andPresidentofSynod of the Syro-Malankara Church"
"Tobin, Joseph",1952-05-03,73,,,,"Tobin, Joseph William,C.SS.R.(73),Cardinal-PriestofS. Maria delle Grazie a Via Trionfale,Metropolitan ArchbishopofNewark(USA),Ecclesiastical SuperiorofTurks and Caicos Islands(Turks and Caicos Islands)andMemberofCouncil for the Economy"
"Tsarahazana, Désiré",1954-06-13,70,,,,"Tsarahazana, Désiré(70),Cardinal-PriestofS. Gregorio Barbarigo alle Tre FontaneandMetropolitan ArchbishopofToamasina(Madagascar)"
"Tscherrig, Emil",1947-02-03,78,,,,"Tscherrig, Emil Paul(78),Cardinal-DeaconofS. Giuseppe in Via TrionfaleandMemberofCommission of Cardinals overseeing the Institute for Works of Religion"
"Turkson, Peter",1948-10-11,76,,,,"Turkson, Peter Kodwo Appiah(76),Cardinal-PriestofS. Liborio,ChancellorofPontifical Academy of Social Sciences,ChancellorofPontifical Academies of SciencesandMetropolitan Archbishopemeritus ofCape Coast(Ghana)"
"UlrichSteiner, Leonardo",1950-11-06,74,,"Archbishop ofManaus, Amazonas,Brazil",https://www.catholic-hierarchy.org/bishop/bulst.html,
"Vesco, Jean",1962-03-10,63,,,,"Vesco, Jean-Paul,O.P.(63),Cardinal-PriestofS. Cuore di Gesù agonizzante a Vitinia,Metropolitan ArchbishopofAlger–Iulia Caesarea(Algeria)andVice-PresidentofRegional Episcopal Conference of North Africa"
"WalterMcElroy, Robert",1954-02-05,71,,"Archbishop ofWashington, District of Columbia,USA",https://www.catholic-hierarchy.org/bishop/bmcelroy.html,
"WilliamTobin, Joseph",1952-05-03,72,,"Archbishop ofNewark, New Jersey,USA",https://www.catholic-hierarchy.org/bishop/btobinj.html,
"Woelki, Rainer",1956-08-18,68,,,,"Woelki, Rainer Maria(68),Cardinal-PriestofS. Giovanni Maria VianneyandMetropolitan ArchbishopofKöln(Germany)"
"WojciechRyś, Grzegorz",1964-02-09,61,,"Archbishop ofŁódź,Poland",https://www.catholic-hierarchy.org/bishop/brys.html,
"You Heung-sik, Lazzaro",1951-11-17,73,,,,"You Heung-sik, Lazzaro (유흥식 라자로 / 俞興植)(73),Cardinal-DeaconofGesù Buon Pastore alla Montagnola,PrefectofDicastery for the Clergy,PresidentofInterdicastery Commission for Candidates to Sacred Order,PresidentofPontifical Work for Ecclesiastical VocationsandBishopemeritus ofDaejeon 대전(South Korea)"
"Zenari, Mario",1946-01-05,79,,,,"Zenari, Mario(79),Cardinal-DeaconofS. Maria delle Grazie alle Fornaci fuori Porta CavalleggeriandApostolic NunciotoSyria"
"Zuppi, Matteo",1955-10-11,69,,,,"Zuppi, Matteo Maria(69),Cardinal-PriestofS. Egidio in Trastevere,Metropolitan ArchbishopofBologna(Italy)andPresidentofEpiscopal Conference of Italy"
"da Rocha, Sérgio",1959-10-21,65,,,,"da Rocha, Sérgio(65),Cardinal-PriestofS. Croce in Via Flaminia,Metropolitan ArchbishopofSão Salvador da Bahia(Brazil)andMemberofCouncil of Cardinals"
"da Silva, Virgilio",1967-11-27,57,,,,"da Silva, Virgilio do Carmo,S.D.B.(57),Cardinal-PriestofS. Alberto Magno,Metropolitan ArchbishopofDíli(Timor-Leste)andVice-PresidentofEpiscopal Conference of Timor"
"de Mendonça, José",1965-12-15,59,,,,"de Mendonça, José Tolentino Calaça(59),Cardinal-DeaconofSs. Domenico e Sisto,PrefectofDicastery for Culture and Education,Grand ChancellorofPontifical Biblical Institute (Biblicum),Grand ChancellorofPontifical Institute of Arab and Islamic Studies,Grand ChancellorofPontifical Institute of Christian Archaeology,Grand ChancellorofPontifical Institute of Sacred MusicandGrand ChancellorofPontifical Gregorian University"
"dos Santos Marto, António",1947-05-05,77,,,,"dos Santos Marto, António Augusto(77),Cardinal-PriestofS. Maria sopra MinervaandBishopemeritus ofLeiria–Fátima(Portugal)"
